longitude latitude strat_old strat_young file_name
16.936 -22.358 -600.00 -450.00 "NAMIBIA_MTX/21-10-97-6.mtx"
16.937 -22.357 -600.00 -450.00 "NAMIBIA_MTX/21-10-97-7.mtx"
16.950 -22.351 -600.00 -450.00 "NAMIBIA_MTX/21-10-97-8.mtx"
16.180 -23.662 -600.00 -450.00 "NAMIBIA_MTX/22-4-96-2.mtx"
17.061 -22.709 -600.00 -450.00 "NAMIBIA_MTX/22-10-97-1.mtx"
17.057 -22.707 -600.00 -450.00 "NAMIBIA_MTX/22-10-97-2.mtx"
17.061 -22.702 -600.00 -450.00 "NAMIBIA_MTX/22-10-97-3.mtx"
17.063 -22.691 -600.00 -450.00 "NAMIBIA_MTX/22-10-97-4.mtx"
16.597 -23.361 -600.00 -450.00 "NAMIBIA_MTX/24-9-97-3.mtx"
16.658 -23.354 -600.00 -450.00 "NAMIBIA_MTX/24-9-97-4.mtx"
16.691 -23.482 -600.00 -450.00 "NAMIBIA_MTX/24-9-97-6.mtx"
16.730 -23.529 -600.00 -450.00 "NAMIBIA_MTX/24-9-97-7.mtx"
16.686 -23.608 -600.00 -450.00 "NAMIBIA_MTX/24-9-97-8.mtx"
16.699 -23.696 -600.00 -450.00 "NAMIBIA_MTX/24-9-97-9.mtx"
16.636 -23.775 -600.00 -450.00 "NAMIBIA_MTX/24-9-97-10.mtx"
16.512 -23.855 -600.00 -450.00 "NAMIBIA_MTX/24-9-97-11.mtx"
16.457 -23.858 -600.00 -450.00 "NAMIBIA_MTX/24-9-97-12.mtx"
16.405 -23.598 -600.00 -450.00 "NAMIBIA_MTX/25-9-97-1.mtx"
16.361 -23.614 -600.00 -450.00 "NAMIBIA_MTX/25-9-97-2.mtx"
16.302 -23.648 -600.00 -450.00 "NAMIBIA_MTX/25-9-97-3.mtx"
16.293 -23.767 -600.00 -450.00 "NAMIBIA_MTX/25-9-97-5.mtx"
16.324 -23.794 -600.00 -450.00 "NAMIBIA_MTX/25-9-97-6.mtx"
16.192 -23.941 -600.00 -450.00 "NAMIBIA_MTX/25-9-97-8.mtx"
16.769 -23.479 -600.00 -450.00 "NAMIBIA_MTX/25-9-97-9.mtx"
15.826 -23.255 -600.00 -450.00 "NAMIBIA_MTX/25-9-97-10.mtx"
16.794 -20.680 -600.00 -450.00 "NAMIBIA_MTX/26-4-96-1.mtx"
16.699 -20.529 -600.00 -450.00 "NAMIBIA_MTX/26-4-96-2.mtx"
16.244 -20.769 -600.00 -450.00 "NAMIBIA_MTX/26-4-96-3.mtx"
16.129 -20.976 -600.00 -450.00 "NAMIBIA_MTX/26-4-96-4.mtx"
16.893 -23.364 -600.00 -450.00 "NAMIBIA_MTX/26-9-97-3.mtx"
17.126 -22.985 -600.00 -450.00 "NAMIBIA_MTX/26-9-97-6.mtx"
15.552 -21.687 -140.00 -120.00 "NAMIBIA_MTX/27-4-96-1.mtx"
